Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,-23.15,-11.39,-23.76,0.1662,0.0839,-1.0496,0.4571,0.5837,-1.0738
0.000,18.28,-21.44,-29.32,0.1598,0.0432,-0.8107,0.6466,0.5880,-0.9992
0.000,-19.48,-2.55,-23.40,0.3540,0.0291,-1.2229,0.7945,0.5372,-0.9368
0.000,-27.60,-1.40,-28.68,0.3659,0.0108,-1.2314,0.7483,0.5440,-1.0593
0.000,-14.42,-12.86,-11.66,0.3834,0.2185,-1.1983,0.8158,0.5640,-0.9875
0.000,21.31,1.08,5.84,0.2530,0.2390,-0.8947,0.7219,0.5655,-1.0138
0.000,-10.51,2.78,29.41,0.1814,0.0399,-0.9980,0.6295,0.5781,-0.9536
0.000,22.54,15.51,6.28,0.2316,-0.1759,-1.1030,0.6257,0.6239,-0.9775
0.000,34.95,27.22,29.21,0.2976,-0.1203,-1.1373,0.5203,0.7425,-1.0354
0.000,-0.64,-15.05,4.61,0.2004,0.1323,-1.1019,0.4760,0.7235,-0.9884
0.000,-4.78,-24.02,-15.34,0.1580,0.1007,-0.9241,0.5955,0.6636,-0.9926
0.000,-11.89,-2.83,-26.20,0.2420,0.0639,-0.8719,0.5942,0.6133,-1.0566
0.000,46.21,15.71,-11.06,0.3464,0.1341,-1.0500,0.7024,0.6681,-0.9827
0.000,-30.67,39.70,-0.67,0.3591,0.2063,-1.3190,0.6777,0.6058,-0.9928
0.000,-26.59,-6.77,-29.56,0.1613,0.2989,-1.0468,0.7412,0.6184,-0.9161
0.000,7.15,-5.11,-5.43,0.1643,0.2058,-0.9240,0.8597,0.6225,-0.8881
0.000,20.94,1.68,29.70,0.1195,0.0491,-0.9785,0.5208,0.7283,-0.8688
0.000,24.75,13.85,15.66,0.2089,-0.0047,-1.1597,0.6392,0.6997,-0.8564
0.000,-22.93,49.57,24.44,0.2607,0.0427,-1.3526,0.4327,0.6982,-0.9878
0.000,7.02,17.86,39.69,0.1053,-0.0177,-1.1694,0.4299,0.6806,-1.0009
0.000,-3.46,-18.29,-18.74,0.2294,0.1321,-1.2269,0.5861,0.6707,-0.9686
0.000,9.44,-21.35,-28.62,0.2049,0.1468,-0.8427,0.6061,0.6153,-1.0155
0.000,2.15,-3.16,-39.10,0.1943,0.1100,-0.7689,0.6040,0.7013,-0.9350
